,Source,Production,dayOfYear,dayName,monthName,Total_time
6798,Solar,33.0,166,Sunday,June,1
6803,Solar,0.0,167,Monday,June,1
6808,Solar,0.0,167,Monday,June,1
6813,Solar,44.0,167,Monday,June,1
6818,Solar,3128.0,167,Monday,June,1
6823,Solar,0.0,168,Tuesday,June,1
6828,Solar,0.0,168,Tuesday,June,1
6833,Solar,0.0,168,Tuesday,June,1
6838,Solar,1978.0,168,Tuesday,June,1
6843,Solar,2464.0,168,Tuesday,June,1
6848,Solar,1258.0,168,Tuesday,June,1
6853,Solar,647.0,168,Tuesday,June,1
6858,Solar,2767.0,169,Wednesday,June,1
6863,Solar,2.0,169,Wednesday,June,1
6868,Solar,2900.0,170,Thursday,June,1
6873,Solar,1676.0,170,Thursday,June,1
6878,Solar,2622.0,171,Friday,June,1
6883,Solar,3063.0,171,Friday,June,1
6888,Solar,3068.0,171,Friday,June,1
6893,Solar,856.0,171,Friday,June,1
6898,Solar,374.0,172,Saturday,June,1
6903,Solar,3266.0,172,Saturday,June,1
6908,Solar,3420.0,172,Saturday,June,1
6913,Solar,2592.0,172,Saturday,June,1
6918,Solar,1842.0,172,Saturday,June,1
6923,Solar,0.0,173,Sunday,June,1
6928,Solar,0.0,173,Sunday,June,1
6933,Solar,357.0,173,Sunday,June,1
6938,Solar,2523.0,173,Sunday,June,1
6943,Solar,2346.0,173,Sunday,June,1
6948,Solar,2817.0,174,Monday,June,1
6953,Solar,1.0,175,Tuesday,June,1
6958,Solar,43.0,175,Tuesday,June,1
6963,Solar,3797.0,175,Tuesday,June,1
6968,Solar,1.0,176,Wednesday,June,1
6973,Solar,1.0,176,Wednesday,June,1
6978,Solar,1.0,176,Wednesday,June,1
6983,Solar,1102.0,176,Wednesday,June,1
6988,Solar,3415.0,176,Wednesday,June,1
6993,Solar,0.0,177,Thursday,June,1
6998,Solar,47.0,177,Thursday,June,1
7003,Solar,1817.0,177,Thursday,June,1
7008,Solar,3114.0,177,Thursday,June,1
7013,Solar,0.0,178,Friday,June,1
7018,Solar,0.0,178,Friday,June,1
7023,Solar,39.0,178,Friday,June,1
7028,Solar,1.0,179,Saturday,June,1
7033,Solar,283.0,179,Saturday,June,1
7038,Solar,1580.0,179,Saturday,June,1
7043,Solar,2234.0,179,Saturday,June,1
7048,Solar,2768.0,179,Saturday,June,1
7053,Solar,3061.0,179,Saturday,June,1
7058,Solar,2286.0,179,Saturday,June,1
7063,Solar,1631.0,179,Saturday,June,1
7068,Solar,0.0,180,Sunday,June,1
7073,Solar,30.0,180,Sunday,June,1
7078,Solar,253.0,180,Sunday,June,1
7083,Solar,697.0,180,Sunday,June,1
7088,Solar,1796.0,180,Sunday,June,1
7093,Solar,0.0,181,Monday,June,1
7098,Solar,28.0,181,Monday,June,1
7103,Solar,799.0,181,Monday,June,1
7108,Solar,35.0,181,Monday,June,1
7113,Solar,0.0,182,Tuesday,June,1
7118,Solar,3534.0,182,Tuesday,June,1
7123,Solar,2.0,182,Tuesday,June,1
7210,Solar,50.0,153,Monday,June,1
7215,Solar,2473.0,153,Monday,June,1
7220,Solar,2873.0,153,Monday,June,1
7225,Solar,1322.0,153,Monday,June,1
7230,Solar,691.0,153,Monday,June,1
7235,Solar,0.0,154,Tuesday,June,1
7240,Solar,285.0,154,Tuesday,June,1
7245,Solar,1737.0,154,Tuesday,June,1
7250,Solar,3319.0,154,Tuesday,June,1
7255,Solar,1685.0,154,Tuesday,June,1
7260,Solar,250.0,154,Tuesday,June,1
7265,Solar,0.0,155,Wednesday,June,1
7270,Solar,0.0,155,Wednesday,June,1
7275,Solar,1060.0,155,Wednesday,June,1
7280,Solar,2454.0,155,Wednesday,June,1
7285,Solar,214.0,155,Wednesday,June,1
7290,Solar,0.0,155,Wednesday,June,1
7295,Solar,0.0,156,Thursday,June,1
7300,Solar,0.0,156,Thursday,June,1
7305,Solar,795.0,156,Thursday,June,1
7310,Solar,2156.0,156,Thursday,June,1
7315,Solar,2097.0,156,Thursday,June,1
7320,Solar,0.0,156,Thursday,June,1
7325,Solar,0.0,156,Thursday,June,1
7330,Solar,2406.0,157,Friday,June,1
7335,Solar,1576.0,157,Friday,June,1
7340,Solar,166.0,157,Friday,June,1
7345,Solar,0.0,158,Saturday,June,1
7350,Solar,2141.0,158,Saturday,June,1
7355,Solar,2605.0,158,Saturday,June,1
7360,Solar,489.0,158,Saturday,June,1
7365,Solar,0.0,159,Sunday,June,1
7370,Solar,0.0,159,Sunday,June,1
7375,Solar,1546.0,159,Sunday,June,1
7380,Solar,0.0,160,Monday,June,1
7385,Solar,0.0,160,Monday,June,1
7390,Solar,40.0,160,Monday,June,1
7395,Solar,340.0,160,Monday,June,1
7400,Solar,1059.0,160,Monday,June,1
7405,Solar,2359.0,160,Monday,June,1
7406,Solar,1.0,275,Thursday,October,1
7410,Solar,1.0,160,Monday,June,1
7411,Solar,0.0,275,Thursday,October,1
7415,Solar,0.0,160,Monday,June,1
7416,Solar,131.0,275,Thursday,October,1
7420,Solar,1852.0,161,Tuesday,June,1
7421,Solar,1374.0,275,Thursday,October,1
7425,Solar,738.0,161,Tuesday,June,1
7426,Solar,1774.0,275,Thursday,October,1
7430,Solar,248.0,161,Tuesday,June,1
7431,Solar,17.0,275,Thursday,October,1
7435,Solar,0.0,161,Tuesday,June,1
7436,Solar,0.0,276,Friday,October,1
7437,Solar,0.0,1,Friday,January,1
7440,Solar,0.0,161,Tuesday,June,1
7441,Solar,0.0,276,Friday,October,1
7442,Solar,0.0,1,Friday,January,1
7445,Solar,157.0,162,Wednesday,June,1
7446,Solar,847.0,276,Friday,October,1
7447,Solar,0.0,1,Friday,January,1
7450,Solar,1.0,162,Wednesday,June,1
